id,title,rank,score,cover_url,cover_path
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,691,8,https://cdn.myanimelist.net/images/anime/1786/120117l.webp,data/covers/14813_Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_.jpg
28891,Haikyuu!! Second Season,97,8.62,https://cdn.myanimelist.net/images/anime/9/76662l.webp,data/covers/28891_Haikyuu_Second_Season.jpg
31478,Bungou Stray Dogs,1077,7.8,https://cdn.myanimelist.net/images/anime/3/79409l.jpg,data/covers/31478_Bungou_Stray_Dogs.jpg
11617,High School DxD,2819,7.32,https://cdn.myanimelist.net/images/anime/1331/111940l.jpg,data/covers/11617_High_School_DxD.jpg
39535,Mushoku Tensei: Isekai Ittara Honki Dasu,266,8.34,https://cdn.myanimelist.net/images/anime/1530/117776l.webp,data/covers/39535_Mushoku_Tensei_Isekai_Ittara_Honki_Dasu.jpg
34599,Made in Abyss,90,8.63,https://cdn.myanimelist.net/images/anime/6/86733l.webp,data/covers/34599_Made_in_Abyss.jpg
38671,Enen no Shouboutai,1277,7.72,https://cdn.myanimelist.net/images/anime/1664/103275l.webp,data/covers/38671_Enen_no_Shouboutai.jpg
2167,Clannad,701,7.99,https://cdn.myanimelist.net/images/anime/1804/95033l.webp,data/covers/2167_Clannad.jpg
48583,Shingeki no Kyojin: The Final Season Part 2,41,8.77,https://cdn.myanimelist.net/images/anime/1948/120625l.jpg,data/covers/48583_Shingeki_no_Kyojin_The_Final_Season_Part_2.jpg
6746,Durarara!!,563,8.09,https://cdn.myanimelist.net/images/anime/10/71772l.webp,data/covers/6746_Durarara_.jpg
5081,Bakemonogatari,273,8.32,https://cdn.myanimelist.net/images/anime/11/75274l.jpg,data/covers/5081_Bakemonogatari.jpg
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,92,8.62,https://cdn.myanimelist.net/images/anime/1764/106659l.webp,data/covers/40591_Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen.jpg
12189,Hyouka,617,8.05,https://cdn.myanimelist.net/images/anime/13/50521l.webp,data/covers/12189_Hyouka.jpg
431,Howl no Ugoku Shiro,76,8.67,https://cdn.myanimelist.net/images/anime/1470/138723l.jpg,data/covers/431_Howl_no_Ugoku_Shiro.jpg
